initializing Landau profile
simulation has started, next status update at 10% completion 

time step 1 of 600 completed in 81.6992 seconds
time step 2 of 600 completed in 81.8094 seconds
time step 3 of 600 completed in 83.795 seconds
time step 4 of 600 completed in 80.0969 seconds
time step 5 of 600 completed in 79.9578 seconds
time step 6 of 600 completed in 87.4903 seconds
time step 7 of 600 completed in 86.9683 seconds
time step 8 of 600 completed in 88.4134 seconds
time step 9 of 600 completed in 87.3807 seconds
time step 10 of 600 completed in 87.6762 seconds
time step 11 of 600 completed in 84.034 seconds
time step 12 of 600 completed in 79.0433 seconds
time step 13 of 600 completed in 79.3677 seconds
time step 14 of 600 completed in 80.7958 seconds
time step 15 of 600 completed in 78.384 seconds
time step 16 of 600 completed in 77.8639 seconds
time step 17 of 600 completed in 77.8457 seconds
time step 18 of 600 completed in 78.0605 seconds
time step 19 of 600 completed in 80.399 seconds
time step 20 of 600 completed in 81.981 seconds
time step 21 of 600 completed in 85.8872 seconds
time step 22 of 600 completed in 78.6258 seconds
time step 23 of 600 completed in 80.4679 seconds
time step 24 of 600 completed in 80.5544 seconds
time step 25 of 600 completed in 80.0368 seconds
time step 26 of 600 completed in 80.0539 seconds
time step 27 of 600 completed in 80.1698 seconds
time step 28 of 600 completed in 80.0579 seconds
time step 29 of 600 completed in 79.8351 seconds
time step 30 of 600 completed in 79.8668 seconds
time step 31 of 600 completed in 80.103 seconds
time step 32 of 600 completed in 80.1903 seconds
time step 33 of 600 completed in 80.1779 seconds
time step 34 of 600 completed in 80.285 seconds
time step 35 of 600 completed in 79.1916 seconds
time step 36 of 600 completed in 78.0618 seconds
time step 37 of 600 completed in 77.9876 seconds
time step 38 of 600 completed in 78.0376 seconds
time step 39 of 600 completed in 77.9372 seconds
time step 40 of 600 completed in 80.5807 seconds
time step 41 of 600 completed in 84.3577 seconds
time step 42 of 600 completed in 80.1509 seconds
time step 43 of 600 completed in 81.9615 seconds
time step 44 of 600 completed in 93.2274 seconds
time step 45 of 600 completed in 87.3089 seconds
time step 46 of 600 completed in 89.271 seconds
time step 47 of 600 completed in 80.1791 seconds
time step 48 of 600 completed in 84.5197 seconds
time step 49 of 600 completed in 83.9837 seconds
time step 50 of 600 completed in 80.1428 seconds
time step 51 of 600 completed in 83.8779 seconds
time step 52 of 600 completed in 81.5822 seconds
time step 53 of 600 completed in 80.896 seconds
time step 54 of 600 completed in 81.5467 seconds
time step 55 of 600 completed in 81.3913 seconds
time step 56 of 600 completed in 90.8231 seconds
