f^(1): LTE = O(20)
=========================

f^(1): forward 0
-----------------------------------
(weights, stencil)
-2.5037018937134369878095e+00, 0
7.9404480527317460314407e+00, 1
-1.7771543091580621620551e+01, 2
3.3372980927361517444751e+01, 3
-4.6534469323068961443823e+01, 4
4.6603747093976714666042e+01, 5
-3.1996178239233575624212e+01, 6
1.3461624440749787368077e+01, 7
-2.3796966764189355636461e+00, 8
-1.4884646153198169415965e-01, 9
-2.3825425360691993015294e-01, 10
1.4022131358251474497756e-01, 11
1.3873235274151471396742e-01, 12
-6.3456337857894951071103e-02, 13
-5.3549740082002583729803e-02, 14
2.6870737082700293235638e-02, 15
1.6942848685592686724943e-02, 16
-1.5251860036554589980518e-02, 17
3.2993638535306320583307e-03, 18
1.9279816393495989232387e-04, 19
-1.1205179866878796671962e-04, 20
-----------------------------------
f^(1): forward 1
-----------------------------------
(weights, stencil)
-7.9418708953584271625914e-02, -1
-2.0645601268143209949812e+00, 0
5.7024671610210901917526e+00, 1
-9.6552075312752716484965e+00, 2
1.4356728878882870859002e+01, 3
-1.6518154462478680244431e+01, 4
1.4025880704857877745440e+01, 5
-8.3051790828591371962375e+00, 6
3.0468132437680619517550e+00, 7
-4.7340375256398059544694e-01, 8
-2.7750365501510398241747e-02, 9
-3.3639535146065283055528e-02, 10
1.8713936375861335570381e-02, 11
1.4921333956950829507937e-02, 12
-6.3774339842757278226659e-03, 13
-3.9269142967724816883912e-03, 14
1.8313436220631596970665e-03, 15
7.0650094399260792051021e-04, 16
-5.3070939642478609510334e-04, 17
8.5518529877141042229265e-05, 18
1.3113776540750655311695e-09, 19
-----------------------------------
f^(1): forward 2
-----------------------------------
(weights, stencil)
5.8933971808366068453888e-03, -2
-1.6059725408210615005267e-01, -1
-1.5519492815802178320439e+00, 0
3.7644871948366289693411e+00, 1
-4.7635483576850043974105e+00, 2
5.6700211475913375736013e+00, 3
-5.4498995099061131597296e+00, 4
3.9790171186444260875703e+00, 5
-2.0687037689050749023068e+00, 6
6.7721791316718071840342e-01, 7
-9.5130009143370511393023e-02, 8
-5.2632107454038774482785e-03, 9
-5.4893194812624303974280e-03, 10
2.9377360526321926945115e-03, 11
2.1085479200313563333258e-03, 12
-8.7487478418342098408778e-04, 13
-4.7756242118727549239229e-04, 14
2.1820073673590019642035e-04, 15
7.4657951798886247802602e-05, 16
-5.4727941546879944922140e-05, 17
8.4352439399499961301954e-06, 18
-----------------------------------
f^(1): forward 3
-----------------------------------
(weights, stencil)
-3.6215174663882580786620e-04, -3
8.0097802754352746129607e-03, -2
-1.9490548890495026923553e-01, -1
-1.1256353481562479945666e+00, 0
2.2220850665245368560363e+00, 1
-1.6786964132129771343216e+00, 2
1.3726297132956215563127e+00, 3
-9.8571512271795669324348e-01, 4
5.6186361237257387291066e-01, 5
-2.3394677068474478698334e-01, 6
6.2311828965923708734120e-02, 7
-7.1934952415445207671296e-03, 8
-3.4667877949403746312695e-04, 9
-2.6348015573524535609326e-04, 10
1.2640372851452662044877e-04, 11
6.5733522518096189715155e-05, 12
-2.4681559064289965518433e-05, 13
-7.8912251642882573309098e-06, 14
3.2348264135468037341371e-06, 15
3.7176991481482404841978e-07, 16
-1.7779390394186866444319e-07, 17
-----------------------------------
f^(1): forward 4
-----------------------------------
(weights, stencil)
2.2507554823868725882470e-04, -4
-4.2862228877102058130499e-03, -3
4.2431707036430427182339e-02, -2
-3.5304420274124492795664e-01, -1
-8.6083305774561569290171e-01, 0
2.0056366810594976612947e+00, 1
-1.4853873707600215858804e+00, 2
1.1047625663257945038964e+00, 3
-6.9283532604078346128773e-01, 4
3.3947558039992947742647e-01, 5
-1.2064186089202585949742e-01, 6
2.7311125996321974906955e-02, 7
-2.6721396055661775226220e-03, 8
-1.1064749303071374825127e-04, 9
-6.6285966101027322776307e-05, 10
2.8306643233801166725273e-05, 11
1.0394298222101663710186e-05, 12
-3.5518580816053860047714e-06, 13
-5.6681048159404742226209e-07, 14
2.1012422334497359429769e-07, 15
8.4499526398272449710802e-11, 16
-----------------------------------
f^(1): forward 5
-----------------------------------
(weights, stencil)
-6.0378173000979729306403e-05, -5
1.1586607961804370591635e-03, -4
-1.1053501752757412257555e-02, -3
7.3312817430456519995907e-02, -2
-4.4895203192593735597171e-01, -1
-6.5467347367776629329938e-01, 0
1.6763108118124667722526e+00, 1
-1.0736865009130220904865e+00, 2
7.0242747721157106077783e-01, 3
-3.9274430784593805654481e-01, 4
1.7357698810229785224557e-01, 5
-5.6192778054455307101822e-02, 6
1.1689431403983374657685e-02, 7
-1.0604797024026508221739e-03, 8
-4.0535535145035067161167e-05, 9
-2.2708885500277659817659e-05, 10
9.3353088616568292274454e-06, 11
3.0687613592562141965388e-06, 12
-1.0305668300779019227396e-06, 13
-1.4250093414467707753688e-07, 14
5.2634388794532175554481e-08, 15
-----------------------------------
f^(1): forward 6
-----------------------------------
(weights, stencil)
2.5610485513172712683386e-05, -6
-4.8035231794516593424593e-04, -5
4.3850878594654659967111e-03, -4
-2.6464664178401247490724e-02, -3
1.2452569167796841143048e-01, -2
-5.7316788053348532994136e-01, -1
-4.2476899302195236796109e-01, 0
1.3454143920319447946810e+00, 1
-7.0265899802437614685147e-01, 2
3.7894691983355088815699e-01, 3
-1.7573409222407018748235e-01, 4
6.4610777793048565498246e-02, 5
-1.7406335533429125733695e-02, 6
3.0086101622009407165204e-03, 7
-2.2713696901186449807718e-04, 8
-6.7670469659267435896615e-06, 9
-3.0830286713541718874730e-06, 10
1.0991547961462784862321e-06, 11
1.9967931308104172485632e-07, 12
-5.9936467399203241359199e-08, 13
-1.1675766503497682366806e-10, 14
-----------------------------------
f^(1): forward 7
-----------------------------------
(weights, stencil)
-9.2112626882245733953795e-06, -7
1.7896382256411355756408e-04, -6
-1.6785627544598513433832e-03, -5
1.0217189802137080500977e-02, -4
-4.6254685323511166017418e-02, -3
1.7415351274669951808782e-01, -2
-6.6843794697518155167870e-01, -1
-2.8223343362713487758597e-01, 0
1.1776970423707444624029e+00, 1
-5.4698989376899509462504e-01, 2
2.6562608242668273028642e-01, 3
-1.1206328320388397878915e-01, 4
3.7806134198519102118663e-02, 5
-9.4159606604973626609034e-03, 6
1.5152738179302709629892e-03, 7
-1.0752761470589774453911e-04, 8
-2.9307763448735324941406e-06, 9
-1.2718304142156484939333e-06, 10
4.4166003170993844677695e-07, 11
6.9866051195859770626265e-08, 12
-2.0848261725981182060685e-08, 13
-----------------------------------
f^(1): forward 8
-----------------------------------
(weights, stencil)
5.8159220952546721863322e-06, -8
-1.1198209731617581497339e-04, -7
1.0346225262178152144721e-03, -6
-6.1367386060055782726064e-03, -5
2.6497181993403510352758e-02, -4
-9.0470489354682409599562e-02, -3
2.6663000585700846745141e-01, -2
-8.2052373582424531495150e-01, -1
-8.3202915042687883295791e-02, 0
9.6940518751115933859808e-01, 1
-3.7291896705612903595295e-01, 2
1.5041324078266146702099e-01, 3
-5.2694738062558879598818e-02, 4
1.4718343447750121752438e-02, 5
-3.0187580505599501817793e-03, 6
3.9788857823212835313278e-04, 7
-2.3520064683810880970484e-05, 8
-3.3604257238274083305872e-07, 9
-1.4540759105194421554143e-07, 10
4.0415924794731056611198e-08, 11
5.3758673887704302669957e-10, 12
-----------------------------------
f^(1): forward 9
-----------------------------------
(weights, stencil)
-2.2794777780771270222159e-06, -9
4.6167523451674136755838e-05, -8
-4.4857114786363240163669e-04, -7
2.7917057626753835793132e-03, -6
-1.2565660358419199899016e-02, -5
4.3991491815235518603178e-02, -4
-1.2712449767304837000559e-01, -3
3.2700215366597462640641e-01, -2
-8.9960283240075478161657e-01, -1
-4.7347448709267743157184e-04, 0
9.0046034615422465563483e-01, 1
-3.2763620300606666191356e-01, 2
1.2750364187591786691023e-01, 3
-4.4172327852320197871805e-02, 4
1.2632737234875575371706e-02, 5
-2.8101845104229754464253e-03, 6
4.5199827171175786149140e-04, 7
-4.6474611862770535443412e-05, 8
2.2550883319005204699615e-06, 9
9.8221358784092266385796e-09, 10
-8.2322624116284860303543e-10, 11
-----------------------------------
f^(1): central 0
-----------------------------------
(weights, stencil)
-6.6651721430864193880040e-09, -10
-2.1653232918902296586102e-06, -9
4.5264145718246929638463e-05, -8
-4.4423163922153140192872e-04, -7
2.7778271210915201315517e-03, -6
-1.2535744065928389190390e-02, -5
4.3952606782911671223779e-02, -4
-1.2711772044011754312365e-01, -3
3.2710479954211746367321e-01, -2
-8.9988802211629015381789e-01, -1
-5.1243027027612588848656e-08, 0
8.9988808105530315728515e-01, 1
-3.2710480953823672933822e-01, 2
1.2711772315713640302270e-01, 3
-4.3952607484977132545900e-02, 4
1.2535744220678202848207e-02, 5
-2.7778271476469641731999e-03, 6
4.4423164234421303993641e-04, 7
-4.5264145898444461339327e-05, 8
2.1653232862022323171422e-06, 9
6.6651733117990013149809e-09, 10
-----------------------------------
f^(1): backward 9
-----------------------------------
(weights, stencil)
-3.1587493415580997688118e-09, -11
3.7688154013277502019022e-08, -10
-2.4012089365640928122344e-06, -9
4.5519977625266922968694e-05, -8
-4.4015784534622747403362e-04, -7
2.7473890584060701655633e-03, -6
-1.2413484702671704479338e-02, -5
4.3609301118532881047507e-02, -4
-1.2638640304769344080427e-01, -3
3.2587692175085886114871e-01, -2
-8.9822917821503145408002e-01, -1
-1.8238679408917454413674e-03, 0
9.0152843339786825627158e-01, 1
-3.2831209306479075538121e-01, 2
1.2784180325582505943771e-01, 3
-4.4303331748804498924077e-02, 4
1.2670895410459282609539e-02, 5
-2.8182985615208340675342e-03, 6
4.5330853491939076876580e-04, 7
-4.6698326905867677111533e-05, 8
2.3076244811151697088872e-06, 9
-----------------------------------
f^(1): backward 8
-----------------------------------
(weights, stencil)
-4.7091421546932598383746e-10, -12
4.6928879420869893400519e-09, -11
-3.5102984665682609848544e-07, -10
1.4823027997832226408133e-06, -9
3.5955099615505782702490e-05, -8
-5.2352302161735983412200e-04, -7
3.6236025868198172041057e-03, -6
-1.6661853988707477775000e-02, -5
5.7292894667551393095284e-02, -4
-1.5879402784114116098380e-01, -3
3.8497564067199380177797e-01, -2
-9.8327534159466700725005e-01, -1
9.6035067355341729999907e-02, 0
8.1097940404598956032345e-01, 1
-2.6095774902518253934858e-01, 2
8.7811108815355962131655e-02, 3
-2.5534586781126144411358e-02, 4
5.8770558904364771091178e-03, 5
